run,mean
1,89.7214860026707
2,90.1749489362742
3,89.23269413745882
4,87.66543794147893
5,89.5298575498849
6,91.51619660854706
7,91.23625005099379
8,88.93992405943827
9,89.71063674656259
10,91.97494893627419run,mean
