gen4,steady4,gen6,steady6,gen7,steady7
48.4,68.8,-20,46,55,28
90.4,71.2,4.6,-10,70,51.4
73,56.8,28,40.6,88,69.4
40,43.6,25,31,71.8,90.4
40.6,63.4,34.6,92.8,80.8,67
4.6,83.8,48.4,-20,71.8,70
85.6,80.8,26.8,-20,69.4,69.4
90.4,59.2,-20,68.8,79.6,64
92.2,63.4,71.2,90.4,62.8,24.4
81.4,89.2,33.4,100,70,28.6
