run,mean
1,55.00000000000032
2,70.00000000000028
3,88.00000000000011
4,71.80000000000027
5,80.80000000000018
6,71.80000000000027
7,69.40000000000029
8,79.6000000000002
9,62.80000000000034
10,70.00000000000028
